1_F1,1_Precision,1_Recall,4_F1,4_Precision,4_Recall,7_F1,7_Precision,7_Recall,10_F1,10_Precision,10_Recall
0.4376,0.91,0.591,0.5183,0.92,0.663,0.4517,0.819,0.582,0.5324,0.833,0.65
0.4526,0.878,0.597,0.5312,0.886,0.664,0.4841,0.814,0.607,0.5481,0.832,0.661
0.4831,0.651,1.0,0.5209,0.685,1.0,0.5013,0.668,1.0,0.5416,0.703,1.0
0.4738,0.643,1.0,0.5141,0.679,1.0,0.4928,0.66,1.0,0.5364,0.698,1.0
0.5168,0.899,0.656,0.5974,0.915,0.723,0.5341,0.87,0.662,0.6165,0.886,0.727
0.5412,0.908,0.678,0.6173,0.919,0.739,0.5692,0.947,0.711,0.6327,0.96,0.763
0.5413,0.702,1.0,0.6045,0.754,1.0,0.5889,0.741,1.0,0.6291,0.772,1.0
0.5329,0.695,1.0,0.5968,0.747,1.0,0.5745,0.73,1.0,0.6124,0.76,1.0
0.5834,0.824,0.683,0.632,0.838,0.721,0.6024,0.9,0.722,0.6582,0.915,0.766
0.6132,0.826,0.704,0.6698,0.832,0.742,0.6395,0.838,0.725,0.6814,0.849,0.756
0.5815,0.735,1.0,0.6594,0.795,1.0,0.6318,0.774,1.0,0.6701,0.802,1.0
0.5782,0.733,1.0,0.6388,0.78,1.0,0.6194,0.765,1.0,0.6591,0.795,1.0
